Name,Photo,Age,Country,Club,Club Photo,Overall Rating,Potential,Height,Weight,Preferred Foot,Best Position,Value,Wage,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Theofanis Mavromatis,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,23,Greece,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,67,74,"6'1""",172lbs,Left,CB,€975K,€500,38,24,66,53,26.0,35,22,54,48,59,62,52.0,56,55.0,66,76.0,60,71,33,69,66.0,31.0,45.0,40,60.0,66,7,9,8,13,7
Adrián Mora,https://www.fifaindex.com/static/FIFA20/images/players/5/242427.png,22,Mexico,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,66,74,"6'3""",179lbs,Left,CB,€875K,€5K,33,22,71,64,31.0,33,32,40,41,69,67,55.0,52,38.0,44,72.0,68,73,25,53,66.0,23.0,32.0,45,56.0,68,7,13,12,14,11
Innocent Maela,https://www.fifaindex.com/static/FIFA20/images/players/5/239431.png,27,South Africa,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,66,67,"5'7""",150lbs,Left,LB,€650K,€500,66,31,59,36,30.0,66,44,26,68,71,67,55.0,63,86.0,55,65.0,64,49,41,51,64.0,42.0,41.0,40,68.0,70,13,12,6,10,15
Toshio Shimakawa,https://www.fifaindex.com/static/FIFA20/images/players/5/237439.png,29,Japan,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,66,66,"5'11""",165lbs,Right,CDM,€550K,€2K,39,53,58,66,53.0,53,36,61,57,62,66,65.0,61,64.0,59,58.0,82,77,57,64,65.0,54.0,63.0,46,49.0,66,5,12,11,9,13
Felipe Banguero,https://www.fifaindex.com/static/FIFA20/images/players/5/226646.png,31,Colombia,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,66,66,"6'0""",163lbs,Left,LWB,€500K,€1K,65,28,55,63,24.0,59,33,62,62,68,73,61.0,59,58.0,30,57.0,79,71,29,62,65.0,55.0,49.0,36,58.0,60,7,9,10,8,15
Daniel De Silva,https://www.fifaindex.com/static/FIFA20/images/players/5/213488.png,22,Australia,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,66,75,"5'7""",132lbs,Right,CAM,€1M,€950,47,59,27,65,59.0,68,45,62,68,77,74,81.0,56,85.0,59,77.0,83,67,65,36,30.0,60.0,63.0,50,65.0,32,7,9,8,15,10
Will Keane,https://www.fifaindex.com/static/FIFA20/images/players/5/201911.png,27,England,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,66,69,"6'2""",159lbs,Right,ST,€825K,€5K,42,63,63,68,62.0,65,47,51,69,60,66,72.0,55,62.0,72,65.0,64,67,62,55,39.0,64.0,56.0,67,66.0,42,10,11,15,11,6
Alexis Gonçalves Pereira,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,22,France,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,63,71,"6'0""",187lbs,Right,ST,€550K,€2K,46,66,54,58,53.0,61,43,41,60,76,74,64.0,48,68.0,67,69.0,55,65,61,34,15.0,60.0,47.0,63,50.0,12,5,5,7,15,14
Ion Gheorghe,https://www.fifaindex.com/static/FIFA20/images/players/5/247912.png,20,Romania,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,64,76,"5'8""",141lbs,Right,RM,€775K,€1K,61,51,34,63,37.0,66,36,47,68,74,69,62.0,62,66.0,47,53.0,64,46,39,34,18.0,65.0,68.0,49,57.0,28,14,12,8,14,12
Stephane Acka,https://www.fifaindex.com/static/FIFA20/images/players/5/243683.png,29,Ivory Coast,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,65,65,"6'0""",176lbs,Right,CB,€475K,€3K,33,22,61,60,29.0,35,33,48,49,64,63,48.0,56,65.0,53,80.0,70,76,28,58,58.0,27.0,29.0,46,56.0,62,9,13,8,11,11
George Hirst,https://www.fifaindex.com/static/FIFA20/images/players/5/233602.png,20,England,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,65,75,"6'3""",154lbs,Right,ST,€875K,€14K,29,68,67,50,54.0,55,31,31,59,74,76,49.0,56,64.0,67,70.0,55,71,51,56,19.0,66.0,43.0,64,63.0,38,13,13,13,10,9
Nazareno Colombo,https://www.fifaindex.com/static/FIFA20/images/players/5/252036.png,20,Argentina,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,64,78,"6'0""",172lbs,Right,CB,€925K,€3K,35,35,57,56,35.0,38,31,49,52,58,64,50.0,55,68.0,54,72.0,64,63,33,73,60.0,37.0,48.0,39,56.0,61,14,15,15,10,13
Michael Svoboda,https://www.fifaindex.com/static/FIFA20/images/players/5/250779.png,21,Austria,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,64,72,"6'5""",187lbs,Right,CB,€600K,€2K,40,36,62,60,33.0,47,26,54,52,59,64,38.0,52,42.0,59,54.0,64,84,38,70,56.0,34.0,50.0,36,58.0,62,5,9,6,14,11
Alexander Díaz,https://www.fifaindex.com/static/FIFA20/images/players/5/246108.png,20,Argentina,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,64,80,"5'8""",161lbs,Right,ST,€975K,€3K,43,64,66,56,46.0,63,33,34,68,77,70,73.0,61,77.0,59,69.0,58,61,55,47,19.0,64.0,57.0,52,63.0,17,14,5,8,14,13
Billy Gilmour,https://www.fifaindex.com/static/FIFA20/images/players/5/245992.png,18,Scotland,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,64,86,"5'7""",148lbs,Right,CAM,€1M,€6K,60,50,50,71,59.0,65,54,72,66,66,53,76.0,58,75.0,49,58.0,50,31,52,54,48.0,55.0,68.0,53,65.0,41,9,7,9,13,12
Valentin Vanbaleghem,https://www.fifaindex.com/static/FIFA20/images/players/5/245004.png,23,France,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,63,71,"6'1""",181lbs,Right,CB,€500K,€1K,52,35,68,66,31.0,62,39,63,61,65,62,62.0,57,57.0,68,62.0,73,76,34,70,58.0,48.0,54.0,49,56.0,62,13,11,9,13,10
Ronald Hernández,https://www.fifaindex.com/static/FIFA20/images/players/5/240921.png,22,Venezuela,Sevilla FC ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/481.png,64,73,"5'7""",154lbs,Right,RB,€625K,€800,60,31,50,53,22.0,58,30,50,58,82,83,76.0,60,82.0,33,71.0,71,61,35,56,61.0,48.0,48.0,38,52.0,57,8,13,6,12,6
Ola Brynhildsen,https://www.fifaindex.com/static/FIFA20/images/players/5/238236.png,20,Norway,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,64,80,"5'9""",154lbs,Right,RW,€1M,€900,57,62,53,60,56.0,68,48,53,65,77,75,78.0,55,77.0,60,66.0,66,62,57,56,45.0,58.0,56.0,57,56.0,32,7,14,5,6,11
Prakul Bhatt,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,34,India,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,63,63,"6'0""",172lbs,Left,ST,€0,€0,42,64,58,54,57.0,61,58,48,60,75,67,64.0,61,57.0,61,70.0,71,73,58,63,25.0,61.0,57.0,65,68.0,12,10,14,9,6,10
Hassani Dotson,https://www.fifaindex.com/static/FIFA20/images/players/5/247476.png,23,United States,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,63,70,"5'11""",170lbs,Right,LB,€450K,€1K,54,54,51,61,36.0,64,38,58,64,68,67,58.0,65,63.0,69,68.0,64,63,70,58,59.0,52.0,49.0,36,58.0,66,14,6,7,9,7
Nicolás Capaldo,https://www.fifaindex.com/static/FIFA20/images/players/5/246885.png,21,Argentina,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,63,74,"5'10""",161lbs,Right,CAM,€625K,€3K,54,51,52,68,50.0,61,45,68,60,73,72,71.0,65,70.0,64,60.0,71,65,50,53,51.0,58.0,61.0,60,64.0,52,8,6,13,12,11
Enzo Díaz,https://www.fifaindex.com/static/FIFA20/images/players/5/246870.png,24,Argentina,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,63,72,"5'10""",154lbs,Left,CB,€525K,€3K,50,29,50,55,35.0,60,36,40,55,62,65,60.0,58,70.0,35,67.0,62,60,35,63,64.0,52.0,45.0,43,55.0,62,10,14,12,7,15
Elvis Kamsoba,https://www.fifaindex.com/static/FIFA20/images/players/5/246711.png,23,Burundi,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,63,70,"5'5""",143lbs,Right,RW,€525K,€2K,52,60,31,45,45.0,64,35,40,64,93,92,78.0,56,80.0,56,45.0,50,34,55,31,22.0,58.0,51.0,43,50.0,15,9,7,13,11,15
Masaki Miyasaka,https://www.fifaindex.com/static/FIFA20/images/players/5/246612.png,30,Japan,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,63,63,"5'7""",150lbs,Right,CDM,€325K,€1K,40,48,34,63,54.0,50,66,62,62,69,64,73.0,62,82.0,70,62.0,80,54,64,62,60.0,52.0,51.0,51,54.0,64,15,9,9,7,10
Fatih Kaya,https://www.fifaindex.com/static/FIFA20/images/players/5/243445.png,20,Germany,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,63,76,"6'0""",172lbs,Right,ST,€700K,€1K,39,67,56,48,43.0,63,29,30,66,63,70,72.0,62,70.0,54,69.0,52,64,54,31,12.0,67.0,53.0,64,56.0,27,15,9,11,13,11
Kevin Agudelo,https://www.fifaindex.com/static/FIFA20/images/players/5/243253.png,21,Colombia,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,63,77,"5'8""",154lbs,Left,CAM,€800K,€3K,56,56,48,68,50.0,66,42,60,68,76,66,75.0,59,81.0,66,60.0,70,62,57,58,50.0,61.0,61.0,43,56.0,53,15,10,13,14,10
Marcel Costly,https://www.fifaindex.com/static/FIFA20/images/players/5/241967.png,24,Germany,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,63,69,"6'0""",168lbs,Right,RWB,€500K,€1K,65,53,40,60,40.0,62,30,43,60,80,81,77.0,57,71.0,47,81.0,70,62,46,52,60.0,60.0,56.0,38,58.0,53,7,14,7,9,13
Denzel Jubitana,https://www.fifaindex.com/static/FIFA20/images/players/5/239597.png,20,Belgium,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,63,73,"5'8""",152lbs,Left,CAM,€600K,€2K,52,53,39,68,56.0,69,63,61,68,69,65,72.0,60,76.0,68,67.0,59,56,70,56,54.0,57.0,55.0,44,61.0,49,6,6,15,9,11
Lukas Jonsson,https://www.fifaindex.com/static/FIFA20/images/players/5/237359.png,27,Sweden,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,63,67,"6'3""",209lbs,Right,GK,€350K,€850,13,6,13,23,9.0,11,13,23,19,36,35,44.0,52,32.0,47,36.0,33,73,5,24,6.0,5.0,42.0,17,42.0,21,63,62,62,63,64
Shun Yoshida,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,23,Japan,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,62,68,"6'1""",165lbs,Right,GK,€325K,€700,14,4,13,18,7.0,6,11,24,12,31,32,33.0,59,48.0,44,62.0,21,64,8,25,9.0,5.0,38.0,12,39.0,7,66,57,59,56,65
Yuri Senesi,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,22,Italy,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,62,69,"5'11""",163lbs,Right,RW,€425K,€850,55,63,49,56,56.0,69,38,54,62,78,80,65.0,49,56.0,61,57.0,59,52,64,55,21.0,61.0,59.0,54,47.0,29,7,14,7,14,12
Carlos Olses,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,19,Venezuela,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,62,82,"6'4""",172lbs,Right,GK,€525K,€500,10,5,11,27,5.0,12,12,24,10,33,31,29.0,53,38.0,41,60.0,19,54,5,24,10.0,4.0,40.0,13,35.0,7,63,60,55,60,65
Reo Griffiths,https://www.fifaindex.com/static/FIFA20/images/players/5/243847.png,19,England,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,62,80,"5'11""",168lbs,Right,ST,€650K,€7K,37,65,64,52,50.0,53,40,37,54,68,69,53.0,58,59.0,60,62.0,48,74,58,51,19.0,63.0,49.0,65,57.0,22,7,9,14,11,11
Williams Alarcón,https://www.fifaindex.com/static/FIFA20/images/players/5/243684.png,19,Chile,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,62,74,"5'11""",154lbs,Right,CAM,€500K,€600,57,55,52,64,36.0,65,50,63,65,63,64,66.0,56,62.0,64,61.0,65,67,58,59,52.0,56.0,58.0,50,61.0,53,14,11,12,14,7
Niccolò Zanellato,https://www.fifaindex.com/static/FIFA20/images/players/5/240385.png,21,Italy,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,62,73,"6'2""",176lbs,Right,CAM,€525K,€650,59,32,60,69,43.0,69,64,65,69,65,56,69.0,59,62.0,61,52.0,48,54,62,40,52.0,52.0,54.0,59,55.0,42,10,11,12,6,8
Brayton Vázquez,https://www.fifaindex.com/static/FIFA20/images/players/5/252006.png,21,Mexico,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,61,73,"5'11""",172lbs,Right,CB,€425K,€2K,39,37,54,62,36.0,50,32,58,60,63,66,53.0,57,60.0,47,70.0,55,65,37,55,58.0,30.0,42.0,45,50.0,59,13,7,10,8,11
Caoimhin Kelleher,https://www.fifaindex.com/static/FIFA20/images/players/5/240913.png,21,Republic of Ireland,Sevilla FC ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/481.png,61,75,"6'2""",152lbs,Right,GK,€475K,€6K,13,6,13,26,9.0,10,11,29,14,40,38,36.0,60,48.0,41,64.0,19,52,8,21,12.0,4.0,25.0,14,35.0,18,62,59,55,58,64
Bartosz Białek,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,18,Poland,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,60,75,"6'3""",185lbs,Right,ST,€425K,€500,24,62,67,57,48.0,46,28,28,57,68,56,47.0,58,64.0,54,69.0,68,79,45,60,24.0,58.0,43.0,59,58.0,24,14,13,6,13,13
Alessandro Fiordaliso,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,20,Italy,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,60,71,"6'0""",165lbs,Right,RB,€325K,€500,51,30,48,44,36.0,65,31,35,49,75,74,62.0,55,62.0,32,60.0,65,61,34,52,53.0,39.0,35.0,33,49.0,55,11,7,13,5,7
Ezequiel Bullaude,https://www.fifaindex.com/static/FIFA20/images/players/5/246237.png,19,Argentina,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,60,75,"6'0""",161lbs,Right,ST,€425K,€850,52,60,50,60,55.0,63,37,44,59,66,61,60.0,62,54.0,60,45.0,50,59,57,28,13.0,58.0,53.0,58,55.0,16,11,6,14,6,6
Luke Matheson,https://www.fifaindex.com/static/FIFA20/images/players/5/246002.png,17,England,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,60,83,"5'5""",154lbs,Right,RB,€425K,€500,55,31,45,58,33.0,57,38,43,61,75,76,74.0,58,72.0,43,64.0,69,43,39,50,58.0,53.0,54.0,34,51.0,57,11,9,6,11,8
Max Sanders,https://www.fifaindex.com/static/FIFA20/images/players/5/240981.png,21,England,Sevilla FC ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/481.png,58,72,"5'9""",176lbs,Right,CAM,€275K,€1K,50,52,43,64,29.0,59,57,62,62,59,52,54.0,52,65.0,58,55.0,45,55,58,53,52.0,47.0,53.0,37,45.0,52,11,9,9,9,10
José Barreto,https://www.fifaindex.com/static/FIFA20/images/players/5/247566.png,19,Argentina,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,59,75,"5'11""",168lbs,Right,ST,€325K,€2K,37,60,60,58,45.0,57,35,34,59,64,57,59.0,55,61.0,57,64.0,58,59,53,41,12.0,61.0,48.0,58,54.0,20,12,10,12,8,12
Matt Freese,https://www.fifaindex.com/static/FIFA20/images/players/5/247506.png,21,United States,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,59,68,"6'4""",183lbs,Right,GK,€190K,€650,11,6,10,27,6.0,7,10,19,16,27,31,32.0,42,50.0,42,50.0,18,55,9,22,11.0,4.0,41.0,10,26.0,7,63,59,56,59,62
Karol Szymański,https://www.fifaindex.com/static/FIFA20/images/players/5/244498.png,26,Poland,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,59,61,"6'3""",194lbs,Right,GK,€140K,€1K,18,11,16,25,7.0,9,12,14,23,20,30,31.0,51,25.0,45,39.0,23,68,8,26,18.0,10.0,32.0,17,47.0,21,61,59,60,56,58
Kamal Bafounta,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,18,France,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,59,82,"6'4""",179lbs,Right,CDM,€325K,€1K,39,48,61,65,54.0,59,44,61,63,65,66,66.0,49,50.0,57,60.0,64,60,46,59,54.0,55.0,47.0,48,43.0,53,8,14,14,13,10
Shu Mogi,https://www.fifaindex.com/static/FIFA20/images/players/5/241223.png,21,Japan,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,57,67,"6'5""",176lbs,Right,GK,€130K,€700,13,9,14,34,7.0,9,10,25,13,31,30,36.0,46,36.0,43,44.0,23,60,7,21,8.0,4.0,36.0,19,33.0,14,60,55,57,54,62
Edwin Mosquera,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,18,Colombia,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,58,73,"5'9""",163lbs,Right,ST,€275K,€500,39,55,51,54,52.0,61,31,41,57,72,75,73.0,53,64.0,62,64.0,49,66,51,29,11.0,49.0,52.0,54,45.0,17,9,9,5,10,7
Daniel Aguilar,https://www.fifaindex.com/static/FIFA20/images/players/5/248548.png,21,Mexico,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,58,68,"5'10""",157lbs,Left,LB,€190K,€2K,55,35,43,60,31.0,57,33,58,52,72,71,71.0,54,65.0,36,60.0,55,45,34,56,57.0,54.0,46.0,47,50.0,55,9,10,13,6,8
Jonathan Farias,https://www.fifaindex.com/static/FIFA20/images/players/5/244236.png,21,Argentina,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,58,69,"5'10""",183lbs,Right,CAM,€220K,€2K,47,53,38,58,53.0,61,51,54,63,67,56,71.0,42,65.0,55,66.0,34,76,56,45,22.0,52.0,54.0,54,55.0,23,13,6,8,8,6
Gustavo Carvajal,https://www.fifaindex.com/static/FIFA20/images/players/5/242688.png,19,Colombia,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,58,78,"5'10""",161lbs,Right,CB,€250K,€500,38,34,62,62,27.0,51,37,45,61,57,54,60.0,53,65.0,45,69.0,64,67,31,60,56.0,38.0,45.0,36,49.0,55,9,14,11,9,11
Tass Mourdoukoutas,https://www.fifaindex.com/static/FIFA20/images/players/5/242109.png,20,Australia,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,58,68,"6'2""",170lbs,Right,CB,€190K,€1K,37,26,56,49,30.0,31,23,38,39,63,60,50.0,55,70.0,42,71.0,60,69,31,53,57.0,45.0,44.0,38,53.0,50,14,9,8,8,8
Alexander Weidinger,https://www.fifaindex.com/static/FIFA20/images/players/5/240218.png,22,Germany,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,58,66,"6'6""",194lbs,Right,GK,€140K,€1K,13,7,10,23,8.0,11,12,23,18,22,23,29.0,50,38.0,45,54.0,21,60,6,22,12.0,6.0,24.0,10,25.0,14,58,57,60,60,54
Artur Bogusz,https://www.fifaindex.com/static/FIFA20/images/players/5/250966.png,26,Poland,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,57,60,"5'11""",163lbs,Right,LB,€110K,€950,51,24,45,51,35.0,53,25,33,51,73,71,64.0,54,66.0,32,54.0,62,59,25,55,53.0,41.0,32.0,42,39.0,54,9,5,9,5,15
Sami Ben Amar,https://www.fifaindex.com/static/FIFA20/images/players/5/241905.png,21,Morocco,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,57,69,"6'1""",168lbs,Right,ST,€190K,€3K,32,58,59,49,54.0,56,38,37,52,62,64,51.0,52,49.0,55,52.0,55,63,48,37,19.0,55.0,43.0,61,48.0,32,14,15,7,14,5
Kristoffer Velde,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,20,Norway,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,57,70,"5'10""",143lbs,Right,LW,€190K,€600,41,56,52,52,45.0,60,51,29,61,74,71,66.0,54,74.0,59,54.0,59,56,53,54,19.0,57.0,47.0,53,51.0,17,8,5,12,9,11
Camilo Ariza,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,23,Colombia,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,56,66,"6'1""",154lbs,Right,GK,€110K,€500,12,6,13,29,5.0,9,14,26,14,32,23,26.0,49,48.0,36,64.0,20,51,6,26,13.0,4.0,22.0,12,31.0,9,59,52,48,55,57
Ramy Najjarine,https://www.fifaindex.com/static/FIFA20/images/players/5/240650.png,19,Australia,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,56,75,"5'9""",157lbs,Left,CAM,€190K,€1K,54,35,39,63,40.0,63,36,54,62,54,53,55.0,53,81.0,47,53.0,33,54,27,47,36.0,48.0,60.0,46,58.0,34,6,13,6,15,12
Sam Junqua,https://www.fifaindex.com/static/FIFA20/images/players/5/247309.png,23,United States,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,55,64,"6'0""",174lbs,Left,LB,€110K,€1K,53,25,44,47,28.0,59,32,41,53,56,66,56.0,53,59.0,22,58.0,54,61,20,59,55.0,60.0,35.0,30,36.0,54,8,14,12,12,6
Juan José Echave,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,18,Chile,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,54,74,"5'11""",159lbs,Right,GK,€120K,€500,21,16,19,48,5.0,12,14,34,24,26,21,29.0,42,49.0,40,61.0,26,46,12,20,21.0,7.0,45.0,10,34.0,17,56,54,53,51,58
Connor Barron,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,17,Scotland,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,51,72,"5'9""",146lbs,Right,CM,€80K,€500,33,32,51,61,41.0,51,36,51,45,60,63,54.0,52,77.0,56,58.0,60,42,42,57,38.0,49.0,46.0,48,42.0,38,14,12,10,14,11
